stock,entry,sl,tp,rr,trend,volume,momentum,rsi,vwap,score,date,time,result
AKUMS,531.25,527.15,544.53,,0.0039,1.84,0.0053,58.6,525.09,82.21,2026-06-02,11:48,STALE
APLLTD,729.0,721.2,747.22,,0.0077,3.39,0.0052,67.3,718.29,100.0,2026-06-02,11:48,STALE
ARTEMISMED,272.0,269.3,278.8,,0.0083,2.18,0.0054,70.5,268.25,92.66,2026-06-02,11:48,STALE
ARVINDFASN,478.0,474.35,489.95,,0.0062,1.73,0.0053,59.9,472.67,85.93,2026-06-02,11:48,STALE
ARVSMART,598.1,591.05,613.05,,0.0064,2.56,0.0088,50.8,589.36,98.41,2026-06-02,11:48,STALE
ASHOKA,124.9,123.18,128.02,,0.0091,5.14,0.0073,73.3,122.88,100.0,2026-06-02,11:48,STALE
AURUM,180.11,175.35,184.61,,0.0053,2.94,0.0062,62.6,179.49,100.0,2026-06-02,11:48,STALE
AYMSYNTEX,223.99,220.41,229.59,,0.0078,2.16,0.0096,55.7,222.55,92.39,2026-06-02,11:48,STALE
AZAD,2084.5,2052.1,2136.61,,0.0113,1.73,0.0107,55.1,2037.41,85.92,2026-06-02,11:48,STALE
BAJAJELEC,314.0,310.8,321.85,,0.0059,1.77,0.0037,63.0,311.48,79.89,2026-06-02,11:48,STALE
BAJEL,195.36,192.64,200.24,,0.0093,4.75,0.0109,69.1,191.67,100.0,2026-06-02,11:49,STALE
BALUFORGE,467.0,461.55,478.67,,0.0067,2.33,0.0061,59.0,457.22,94.89,2026-06-02,11:49,STALE
BEL,409.1,406.3,419.33,,0.0039,2.17,0.0042,59.0,405.31,82.81,2026-06-02,11:49,STALE
BLUEJET,454.9,449.65,466.27,,0.0092,5.5,0.0068,66.5,444.46,100.0,2026-06-02,11:49,STALE
CANBK,129.31,128.6,132.54,,0.0046,1.67,0.0038,67.2,127.62,76.88,2026-06-02,11:49,STALE
CARYSIL,1118.0,1108.8,1145.95,,0.005,3.28,0.0031,65.5,1097.51,90.55,2026-06-02,11:49,STALE
CCL,1072.0,1063.2,1098.8,,0.0053,2.22,0.0048,67.3,1066.24,92.17,2026-06-02,11:49,STALE
CEATLTD,3234.0,3205.2,3314.85,,0.0063,2.41,0.0047,65.8,3194.95,94.49,2026-06-02,11:49,STALE
COCHINSHIP,1471.2,1455.9,1507.98,,0.0051,2.56,0.0045,66.8,1451.65,95.94,2026-06-02,11:50,STALE
COROMANDEL,1766.0,1752.3,1810.15,,0.0043,1.68,0.0048,63.7,1754.13,80.9,2026-06-02,11:50,STALE
CUPID,128.7,127.77,131.92,,0.0037,1.71,0.0054,59.5,127.87,78.97,2026-06-02,11:50,STALE
CYIENT,929.0,923.0,952.22,,0.0037,1.86,0.0044,70.2,924.67,78.73,2026-06-02,11:50,STALE
EBGNG,445.0,437.9,456.12,,0.0117,3.61,0.0109,71.2,434.47,100.0,2026-06-02,11:50,STALE
EIHOTEL,290.6,288.1,297.87,,0.0044,2.09,0.0048,56.8,287.5,87.85,2026-06-02,11:50,STALE
ELIN,111.53,110.51,114.32,,0.0043,7.95,0.0042,56.1,110.9,92.48,2026-06-02,11:50,STALE
ENRIN,3630.0,3610.0,3720.75,,0.0024,1.61,0.0044,58.0,3624.52,68.27,2026-06-02,11:51,STALE
FINCABLES,1005.0,994.0,1030.12,,0.0064,1.67,0.0043,53.1,988.62,81.47,2026-06-02,11:51,STALE
FLAIR,289.0,286.0,296.22,,0.0068,5.64,0.0064,60.3,285.56,100.0,2026-06-02,11:51,STALE
GENESYS,267.65,266.0,274.34,,0.0024,3.79,0.0054,54.2,268.17,87.25,2026-06-02,11:51,STALE
GENUSPOWER,311.95,307.0,319.75,,0.0095,3.13,0.0091,67.5,307.61,100.0,2026-06-02,11:51,STALE
GLOBALVECT,167.0,165.94,171.17,,0.0046,2.23,0.0057,52.5,166.11,91.64,2026-06-02,11:51,STALE
GMDCLTD,669.9,662.3,686.65,,0.0048,2.49,0.0035,64.5,666.75,88.74,2026-06-02,11:51,STALE
GNA,370.0,367.1,379.25,,0.0041,4.93,0.0076,53.1,367.69,95.71,2026-06-02,11:51,STALE
GOKEX,700.75,695.35,718.27,,0.0046,2.93,0.003,70.0,692.54,87.78,2026-06-02,11:51,STALE
GPIL,287.35,283.8,294.53,,0.0075,2.99,0.0033,64.7,283.09,91.59,2026-06-02,11:51,STALE
GRAVITA,1629.2,1618.1,1669.93,,0.0039,2.1,0.0051,56.5,1613.24,85.94,2026-06-02,11:51,STALE
GRSE,2625.0,2601.0,2690.62,,0.0037,2.38,0.005,53.2,2606.4,89.07,2026-06-02,11:52,STALE
HBESD,75.0,71.95,76.88,,0.0214,,0.0401,53.4,73.36,,2026-06-02,11:52,STALE
HEXT,551.0,547.9,564.77,,0.0063,2.06,0.0033,61.6,542.7,82.26,2026-06-02,11:52,STALE
HIMATSEIDE,77.59,77.11,79.53,,0.0034,2.11,0.0031,55.8,77.28,74.36,2026-06-02,11:52,STALE
HINDCOPPER,547.5,543.65,561.19,,0.004,2.22,0.0037,66.7,545.98,81.54,2026-06-02,11:52,STALE
HINDOILEXP,172.25,171.2,176.56,,0.0043,4.77,0.0031,60.8,170.12,87.06,2026-06-02,11:52,STALE
HNDFDS,540.25,536.45,553.76,,0.0044,1.78,0.0061,56.6,534.97,83.83,2026-06-02,11:52,STALE
IFBIND,1321.0,1305.7,1354.02,,0.0057,1.86,0.0033,51.2,1300.78,79.66,2026-06-02,11:52,STALE
IFCI,71.88,71.06,73.68,,0.0069,3.47,0.0064,66.0,70.89,100.0,2026-06-02,11:52,STALE
IGARASHI,378.75,375.2,388.22,,0.0031,5.35,0.0038,55.2,376.51,84.93,2026-06-02,11:52,STALE
IIFL,481.9,476.1,493.95,,0.0091,2.78,0.0064,61.0,473.85,100.0,2026-06-02,11:52,STALE
IMFA,1465.0,1454.2,1501.62,,0.0047,7.54,0.0048,55.2,1459.36,97.56,2026-06-02,11:52,STALE
INOXWIND,84.7,83.37,86.82,,0.0075,2.05,0.0068,61.9,83.21,90.8,2026-06-02,11:52,STALE
IRCON,136.35,134.85,139.76,,0.0063,3.43,0.0044,63.0,134.3,97.1,2026-06-02,11:53,STALE
IRFC,97.0,96.16,99.42,,0.0045,2.08,0.0031,63.0,95.86,79.27,2026-06-02,11:53,STALE
ITDC,545.0,536.25,558.62,,0.0059,8.51,0.0046,62.0,538.62,98.04,2026-06-02,11:53,STALE
JAYNECOIND,99.52,98.56,102.01,,0.0075,6.01,0.0045,61.6,98.5,97.71,2026-06-02,11:53,STALE
JSL,689.45,684.95,706.69,,0.0049,2.82,0.0052,68.9,682.65,99.72,2026-06-02,11:53,STALE
JSWENERGY,590.4,584.35,605.16,,0.0066,2.53,0.0031,63.3,579.42,88.17,2026-06-02,11:53,STALE
KNRCON,133.04,130.35,136.37,,0.0132,6.31,0.0128,67.0,129.82,100.0,2026-06-02,11:53,STALE
KPIGREEN,423.0,417.35,433.57,,0.0063,2.47,0.0052,59.8,418.81,97.07,2026-06-02,11:53,STALE
KPL,2324.9,2266.1,2383.02,,0.0191,3.46,0.0219,74.3,2250.08,100.0,2026-06-02,11:53,STALE
