SYMBOL,VOLUME,%CHNG
AVL,1000000,0.0
AVONMORE,1000000,0.0
AVROIND,1000000,0.0
AVTNPL,1000000,0.0
AWFIS,1000000,0.0
AWHCL,1000000,0.0
AWL,1000000,0.0
AXISBANK,1000000,0.0
AXISCADES,1000000,0.0
AYMSYNTEX,1000000,0.0
AZAD,1000000,0.0
BAGFILMS,1000000,0.0
BAIDFIN,1000000,0.0
BAJAJ-AUTO,1000000,0.0
BAJAJCON,1000000,0.0
BAJAJELEC,1000000,0.0
BAJAJFINSV,1000000,0.0
BAJAJHCARE,1000000,0.0
BAJAJHFL,1000000,0.0
BAJAJHIND,1000000,0.0
BAJAJHLDNG,1000000,0.0
BAJAJINDEF,1000000,0.0
BAJEL,1000000,0.0
BAJFINANCE,1000000,0.0
BALAJEE,1000000,0.0
BALAJITELE,1000000,0.0
BALAMINES,1000000,0.0
BALAXI,1000000,0.0
BALKRISHNA,1000000,0.0
BALKRISIND,1000000,0.0
BALMLAWRIE,1000000,0.0
BALPHARMA,1000000,0.0
BALRAMCHIN,1000000,0.0
BALUFORGE,1000000,0.0
BANARBEADS,1000000,0.0
BANARISUG,1000000,0.0
BANCOINDIA,1000000,0.0
BANDHANBNK,1000000,0.0
BANG,1000000,0.0
BANKA,1000000,0.0
BANKBARODA,1000000,0.0
BANKINDIA,1000000,0.0
BANSALWIRE,1000000,0.0
BANSWRAS,1000000,0.0
BASF,1000000,0.0
BASML,1000000,0.0
BATAINDIA,1000000,0.0
BAYERCROP,1000000,0.0
BBL,1000000,0.0
BBOX,1000000,0.0
BBTC,1000000,0.0
BBTCL,1000000,0.0
BCG,1000000,0.0
BCLIND,1000000,0.0
BCONCEPTS,1000000,0.0
BDL,1000000,0.0
BEARDSELL,1000000,0.0
BECTORFOOD,1000000,0.0
BEDMUTHA,1000000,0.0
BEL,1000000,0.0
BELLACASA,1000000,0.0
BELRISE,1000000,0.0
BEML,1000000,0.0
BEPL,1000000,0.0
BERGEPAINT,1000000,0.0
BESTAGRO,1000000,0.0
BETA,1000000,0.0
BFINVEST,1000000,0.0
BGRENERGY,1000000,0.0
BHAGCHEM,1000000,0.0
BHAGERIA,1000000,0.0
BHANDARI,1000000,0.0
BHARATFORG,1000000,0.0
BHARATGEAR,1000000,0.0
BHARATRAS,1000000,0.0
BHARATSE,1000000,0.0
BHARATWIRE,1000000,0.0
BHARTIARTL,1000000,0.0
BHARTIHEXA,1000000,0.0
BHEL,1000000,0.0
BIGBLOC,1000000,0.0
BIKAJI,1000000,0.0
BIL,1000000,0.0
BIOCON,1000000,0.0
BIOFILCHEM,1000000,0.0
BIRLACABLE,1000000,0.0
BIRLACORPN,1000000,0.0
BIRLAMONEY,1000000,0.0
BIRLANU,1000000,0.0
BLACKBUCK,1000000,0.0
BLAL,1000000,0.0
BLBLIMITED,1000000,0.0
BLISSGVS,1000000,0.0
BLKASHYAP,1000000,0.0
BLS,1000000,0.0
BLSE,1000000,0.0
BLUECOAST,1000000,0.0
BLUEDART,1000000,0.0
BLUEJET,1000000,0.0
BLUESTARCO,1000000,0.0
BLUESTONE,1000000,0.0
BLUSPRING,1000000,0.0
BMWVENTLTD,1000000,0.0
BODALCHEM,1000000,0.0
BOHRAIND,1000000,0.0
BOMDYEING,1000000,0.0
BOROLTD,1000000,0.0
BORORENEW,1000000,0.0
BOROSCI,1000000,0.0
BOSCH-HCIL,1000000,0.0
BOSCHLTD,1000000,0.0
BPCL,1000000,0.0
BPL,1000000,0.0
BRIGADE,1000000,0.0
BRIGHOTEL,1000000,0.0
BRITANNIA,1000000,0.0
BRNL,1000000,0.0
BROOKS,1000000,0.0
BSE,1000000,0.0
BSHSL,1000000,0.0
BSL,1000000,0.0
BSOFT,1000000,0.0
BTML,1000000,0.0
BUTTERFLY,1000000,0.0
BVCL,1000000,0.0
BYKE,1000000,0.0
CALSOFT,1000000,0.0
CAMLINFINE,1000000,0.0
CAMPUS,1000000,0.0
CAMS,1000000,0.0
CANBK,1000000,0.0
CANFINHOME,1000000,0.0
CANHLIFE,1000000,0.0
CANTABIL,1000000,0.0
CAPACITE,1000000,0.0
CAPILLARY,1000000,0.0
CAPITALSFB,1000000,0.0
CAPLIPOINT,1000000,0.0
CAPTRUST,1000000,0.0
CARBORUNIV,1000000,0.0
CARERATING,1000000,0.0
CARRARO,1000000,0.0
CARTRADE,1000000,0.0
CARYSIL,1000000,0.0
CASTROLIND,1000000,0.0
CCHHL,1000000,0.0
CCL,1000000,0.0
CDSL,1000000,0.0
CEATLTD,1000000,0.0
CEIGALL,1000000,0.0
CELEBRITY,1000000,0.0
CELLO,1000000,0.0
CEMPRO,1000000,0.0
CENTENKA,1000000,0.0
CENTRALBK,1000000,0.0
CENTRUM,1000000,0.0
CENTUM,1000000,0.0
CENTURYPLY,1000000,0.0
CERA,1000000,0.0
CESC,1000000,0.0
CEWATER,1000000,0.0
CGCL,1000000,0.0
CGPOWER,1000000,0.0
CHALET,1000000,0.0
CHAMBLFERT,1000000,0.0
CHEMBOND,1000000,0.0
CHEMBONDCH,1000000,0.0
CHEMCON,1000000,0.0
CHEMFAB,1000000,0.0
CHEMPLASTS,1000000,0.0
CHENNPETRO,1000000,0.0
CHEVIOT,1000000,0.0
CHOICEIN,1000000,0.0
CHOLAFIN,1000000,0.0
CHOLAHLDNG,1000000,0.0
CIEINDIA,1000000,0.0
CIFL,1000000,0.0
CIGNITITEC,1000000,0.0
CINELINE,1000000,0.0
CINEVISTA,1000000,0.0
CIPLA,1000000,0.0
CLEAN,1000000,0.0
CLEDUCATE,1000000,0.0
CLSEL,1000000,0.0
CMSINFO,1000000,0.0
CNL,1000000,0.0
COALINDIA,1000000,0.0
COCHINSHIP,1000000,0.0
COFFEEDAY,1000000,0.0
COFORGE,1000000,0.0
COHANCE,1000000,0.0
COLPAL,1000000,0.0
COMPUSOFT,1000000,0.0
CONCOR,1000000,0.0
CONCORDBIO,1000000,0.0
CONFIPET,1000000,0.0
CONSOFINVT,1000000,0.0
CONTROLPR,1000000,0.0
CORALFINAC,1000000,0.0
CORDSCABLE,1000000,0.0
COROMANDEL,1000000,0.0
CORONA,1000000,0.0
COSMOFIRST,1000000,0.0
COUNCODOS,1000000,0.0
CPCAP,1000000,0.0
CPEDU,1000000,0.0
CPPLUS,1000000,0.0
CRAFTSMAN,1000000,0.0
CRAMC,1000000,0.0
CREATIVEYE,1000000,0.0
CREDITACC,1000000,0.0
CREST,1000000,0.0
CRISIL,1000000,0.0
CRIZAC,1000000,0.0
CROMPTON,1000000,0.0
CROWN,1000000,0.0
CSBBANK,1000000,0.0
CSLFINANCE,1000000,0.0
CTE,1000000,0.0
CUB,1000000,0.0
CUBEXTUB,1000000,0.0
CUMMINSIND,1000000,0.0
CUPID,1000000,0.0
CYBERMEDIA,1000000,0.0
CYBERTECH,1000000,0.0
CYIENT,1000000,0.0
CYIENTDLM,1000000,0.0
DABUR,1000000,0.0
DALBHARAT,1000000,0.0
DALMIASUG,1000000,0.0
DAMCAPITAL,1000000,0.0
DAMODARIND,1000000,0.0
DANGEE,1000000,0.0
DATAMATICS,1000000,0.0
DATAPATTNS,1000000,0.0
DAVANGERE,1000000,0.0
DBCORP,1000000,0.0
DBEIL,1000000,0.0
DBL,1000000,0.0
DBOL,1000000,0.0
DBREALTY,1000000,0.0
DBSTOCKBRO,1000000,0.0
DCAL,1000000,0.0
DCBBANK,1000000,0.0
DCI,1000000,0.0
DCM,1000000,0.0
DCMFINSERV,1000000,0.0
DCMNVL,1000000,0.0
DCMSHRIRAM,1000000,0.0
DCMSRIND,1000000,0.0
DCW,1000000,0.0
DCXINDIA,1000000,0.0
DDEVPLSTIK,1000000,0.0
DECCANCE,1000000,0.0
DEEDEV,1000000,0.0
DEEPAKFERT,1000000,0.0
DEEPAKNTR,1000000,0.0
DEEPINDS,1000000,0.0
DELHIVERY,1000000,0.0
DELPHIFX,1000000,0.0
DELTACORP,1000000,0.0
DELTAMAGNT,1000000,0.0
DEN,1000000,0.0
DENORA,1000000,0.0
DENTA,1000000,0.0
DEVIT,1000000,0.0
DEVX,1000000,0.0
DEVYANI,1000000,0.0
DGCONTENT,1000000,0.0
DHAMPURSUG,1000000,0.0
DHANBANK,1000000,0.0
DHANUKA,1000000,0.0
DHARMAJ,1000000,0.0
DHRUV,1000000,0.0
DHUNINV,1000000,0.0
DIACABS,1000000,0.0
DIAMINESQ,1000000,0.0
DIAMONDYD,1000000,0.0
DICIND,1000000,0.0
DIFFNKG,1000000,0.0
DIGIDRIVE,1000000,0.0
DIGISPICE,1000000,0.0
DIGITIDE,1000000,0.0
DIGJAMLMTD,1000000,0.0
DISHTV,1000000,0.0
DIVGIITTS,1000000,0.0
DIVISLAB,1000000,0.0
DIXON,1000000,0.0
DJML,1000000,0.0
DLF,1000000,0.0
DLINKINDIA,1000000,0.0
DMART,1000000,0.0
DMCC,1000000,0.0
DNAMEDIA,1000000,0.0
DODLA,1000000,0.0
DOLATALGO,1000000,0.0
DOLLAR,1000000,0.0
DOLPHIN,1000000,0.0
